time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-31 00:00:00+00:00,0,0,1,1
2023-02-01 00:00:00+00:00,4,2,0,0
2023-02-02 00:00:00+00:00,67,7,26,1
2023-02-04 00:00:00+00:00,3,2,15,2
2023-02-06 00:00:00+00:00,1,1,0,0
2023-02-09 00:00:00+00:00,0,0,13,2
2023-02-10 00:00:00+00:00,0,0,3,1
2023-02-12 00:00:00+00:00,1,1,0,0
2023-02-15 00:00:00+00:00,1,1,0,0
2023-02-16 00:00:00+00:00,0,0,3,1
2023-02-19 00:00:00+00:00,0,0,4,1
2023-03-02 00:00:00+00:00,2,1,0,0
2023-03-04 00:00:00+00:00,1,1,0,0
2023-03-10 00:00:00+00:00,0,0,1,1
2023-03-13 00:00:00+00:00,0,0,1,1
2023-03-16 00:00:00+00:00,0,0,5,1
2023-03-17 00:00:00+00:00,1,1,0,0
2023-03-20 00:00:00+00:00,1,1,9,1
2023-03-21 00:00:00+00:00,0,0,1,1
2023-03-27 00:00:00+00:00,0,0,4,2
2023-03-28 00:00:00+00:00,0,0,8,1
2023-03-29 00:00:00+00:00,1,1,2,1
2023-03-30 00:00:00+00:00,0,0,3,1
2023-04-02 00:00:00+00:00,0,0,1,1
2023-04-15 00:00:00+00:00,2,2,0,0
2023-04-18 00:00:00+00:00,1,1,8,1
2023-04-27 00:00:00+00:00,1,1,18,4
2023-05-04 00:00:00+00:00,0,0,2,1
2023-05-05 00:00:00+00:00,0,0,9,3
2023-05-07 00:00:00+00:00,0,0,11,3
2023-05-11 00:00:00+00:00,0,0,3,1
2023-05-12 00:00:00+00:00,0,0,4,1
2023-05-18 00:00:00+00:00,0,0,2,1
2023-05-23 00:00:00+00:00,2,1,1,1
2023-05-24 00:00:00+00:00,0,0,4,2
2023-05-25 00:00:00+00:00,0,0,22,2
2023-05-29 00:00:00+00:00,1,1,1,1
2023-05-30 00:00:00+00:00,0,0,2,2
2023-06-03 00:00:00+00:00,0,0,13,2
2023-06-06 00:00:00+00:00,0,0,18,2
2023-06-08 00:00:00+00:00,0,0,1,1
2023-06-09 00:00:00+00:00,0,0,10,2
2023-06-12 00:00:00+00:00,0,0,3,1
2023-06-19 00:00:00+00:00,0,0,1,1
2023-06-22 00:00:00+00:00,2,1,1,1
2023-06-26 00:00:00+00:00,1,1,0,0
2023-06-28 00:00:00+00:00,1,1,0,0
2023-06-29 00:00:00+00:00,1,1,2,2
2023-07-03 00:00:00+00:00,0,0,4,1
2023-07-04 00:00:00+00:00,1,1,2,2
2023-07-05 00:00:00+00:00,4,2,7,1
2023-07-06 00:00:00+00:00,0,0,6,3
2023-07-09 00:00:00+00:00,1,1,1,1
2023-07-10 00:00:00+00:00,1,1,7,1
2023-07-11 00:00:00+00:00,0,0,1,1
2023-07-12 00:00:00+00:00,0,0,5,2
2023-07-13 00:00:00+00:00,0,0,2,1
2023-07-14 00:00:00+00:00,0,0,5,1
2023-07-15 00:00:00+00:00,1,1,1,1
2023-07-17 00:00:00+00:00,0,0,36,4
2023-07-18 00:00:00+00:00,0,0,7,1
2023-07-19 00:00:00+00:00,1,1,3,1
2023-07-24 00:00:00+00:00,0,0,1,1
2023-07-25 00:00:00+00:00,0,0,2,1
2023-07-26 00:00:00+00:00,0,0,1,1
2023-07-27 00:00:00+00:00,3,2,15,3
2023-07-28 00:00:00+00:00,2,1,1,1
2023-07-29 00:00:00+00:00,0,0,1,1
2023-07-30 00:00:00+00:00,0,0,1,1
2023-07-31 00:00:00+00:00,2,2,0,0
2023-08-01 00:00:00+00:00,0,0,2,1
2023-08-06 00:00:00+00:00,3,2,0,0
2023-08-08 00:00:00+00:00,1,1,0,0
2023-08-09 00:00:00+00:00,2,2,0,0
2023-08-16 00:00:00+00:00,0,0,5,1
2023-08-22 00:00:00+00:00,3,1,0,0
2023-08-29 00:00:00+00:00,2,1,0,0
2023-09-07 00:00:00+00:00,0,0,4,2
2023-09-09 00:00:00+00:00,1,1,1,1
2023-09-10 00:00:00+00:00,3,2,6,1
2023-09-11 00:00:00+00:00,0,0,3,1
2023-09-14 00:00:00+00:00,18,1,8,1
2023-09-18 00:00:00+00:00,0,0,10,3
2023-09-19 00:00:00+00:00,2,2,3,1
2023-09-21 00:00:00+00:00,0,0,16,2
2023-09-22 00:00:00+00:00,0,0,18,2
